,celltype,tf,pval,pval_adj,mean_difference,Correlation,corr_padj
454,cMono,NR1D1,1.6671240317101575e-114,5.429624139973449e-114,0.0028872528087861282,-0.0063595877429977,0.3409579897742938
455,cMono,NR1D2,0.0,0.0,0.0013954674262328624,-0.0039935370320773,0.5802242672317165
456,cMono,NR1H4,5.529335173938863e-137,2.91521879220044e-136,0.002764194992344468,0.0,0.0
457,cMono,NR1I2,2.774231499722652e-57,4.2572860910729465e-57,-0.00028078939230569405,0.002125427276418,0.7937204528685965
458,cMono,NR1I3,8.055090254913632e-147,5.262988418087741e-146,-0.0006883666505049001,0.0052404552796803,0.4523065435641565
459,cMono,NR2C1,1.4259730234225703e-33,1.8841951240012873e-33,-0.00022226408989276664,0.0349713865124914,9.252071617233259e-11
460,cMono,NR2C2,1.4780703165594442e-118,5.282365393073182e-118,-0.004068514012413385,0.0252891020122775,4.321229728319772e-06
461,cMono,NR2E1,1.0470403308116542e-106,2.965686043389393e-106,0.0019153368455807687,0.0043511523745504,0.5361741077198111
462,cMono,NR2E3,3.683547282745066e-227,1.1208508160352843e-225,0.0009117002008748338,-0.0193188543514135,0.0006170199025391
463,cMono,NR2F1,6.867432238141649e-212,1.5237115278376782e-210,0.0016499750490794785,0.0,0.0
464,cMono,NR2F2,2.3652626373519042e-175,2.5704129681426303e-174,0.0018645427287875133,-0.0140691672294527,0.0157561933507376
465,cMono,NR2F6,3.1261719232615065e-77,5.710760031343919e-77,-0.0003078661147151323,-0.009509251140152,0.123324625775068
466,cMono,NR3C1,2.272510016829354e-80,4.31412329398086e-80,-0.00015272195580224614,-0.0370207460898595,6.145933113428344e-12
467,cMono,NR3C2,1.0993458956943163e-116,3.7646410897570636e-116,-0.00038307724662958384,0.0402993842910009,5.767346238005737e-14
468,cMono,NR4A1,2.920605231439964e-139,1.611629311649514e-138,0.0017161785235617968,-0.0118164493160387,0.0477256192240126
469,cMono,NR4A2,1.4092150164398328e-58,2.1941725036672836e-58,0.0006206551340961347,-0.0528238015326002,2.185091063639888e-23
470,cMono,NR4A3,1.3790210903997608e-91,3.003389491361442e-91,0.0007586238683001036,-0.0186259560493579,0.0009962399173619
471,cMono,NR5A1,8.919134394728697e-162,7.599102504308849e-161,0.0013231633001906384,0.0,0.0
472,cMono,NR5A2,3.148440719508622e-272,2.095680853922927e-270,0.0016386789243803997,-0.0059481406770238,0.3804369923956581
473,cMono,NR6A1,8.83332107931774e-250,4.703743474736697e-248,0.0008943483409787137,-0.0027985752323666,0.7147556472841912
474,cMono,NRF1,7.846218730271812e-174,8.034829757441807e-173,-0.002736329545411864,0.0196500546606152,0.0004910346835981
475,cMono,NRL,7.028342499965545e-203,1.3366401361541618e-201,0.0002675176834480153,-0.0025287806666775,0.7427595157494283
476,cMono,OLIG1,0.485033177736804,0.49290108233749647,7.750179813901376e-05,-0.0095300587522397,0.1230335708395458
477,cMono,OLIG2,0.01819478062941021,0.01918558551517017,2.6997521914391004e-05,-0.0008507346633136,0.9237759930076028
478,cMono,OLIG3,7.443394061677411e-28,9.425938972278767e-28,0.0004980033191842696,0.0,0.0
479,cMono,ONECUT1,2.229167857092738e-89,4.7481275356075315e-89,-0.0010943596751544016,0.0,0.0
480,cMono,ONECUT2,3.568158885895632e-135,1.7757426231209573e-134,-0.0007905321493454631,0.0,0.0
481,cMono,ONECUT3,3.96946001787464e-117,1.372556791894965e-116,-0.0004086352617619915,0.0046273481707749,0.5078342388160022
